Grado;T.Clásico;T.Karatsuba
1;2.344;1.953
2;4.688;2.344
3;2.734;5.078
4;7.031;4.297
5;6.250;6.641
6;6.641;5.859
7;7.031;7.422
8;10.547;5.859
9;9.766;10.938
10;11.719;10.547
11;17.188;10.156
12;11.328;14.844
13;17.188;17.578
14;18.750;14.453
15;25.391;18.750
16;22.266;20.312
17;23.828;22.266
18;29.297;27.734
19;30.469;26.953
20;35.156;35.547
21;35.547;34.766
22;44.531;45.312
23;45.703;43.359
24;53.125;43.750
25;61.719;46.875
26;54.688;50.781
27;71.875;55.859
28;69.922;65.234
29;79.688;64.453
30;85.938;60.938
31;97.266;81.641
32;87.891;75.781
33;107.422;98.438
34;90.234;87.109
35;103.516;96.484
36;126.562;105.078
37;121.484;101.562
38;130.469;117.969
39;130.078;114.062
40;144.922;119.141
41;160.156;121.094
42;153.125;133.594
43;165.234;145.703
44;193.359;153.516
45;229.297;189.844
46;214.453;185.156
47;229.688;196.875
48;237.500;197.656
49;203.125;173.047
50;255.078;208.203
51;260.547;254.297
52;287.500;234.766
53;310.938;237.500
54;297.656;241.016
55;345.312;270.703
56;375.000;287.109
57;341.016;270.703
58;330.078;289.844
59;409.375;333.984
60;367.969;303.125
61;402.344;348.047
62;440.625;336.719
63;427.344;337.891
64;498.047;395.703
65;441.406;358.984
66;546.094;428.125
67;500.781;390.234
68;525.781;420.312
69;507.031;422.656
70;647.656;495.312
71;638.672;505.078
72;630.859;505.078
73;692.578;562.500
74;605.859;513.281
75;620.703;507.812
76;735.938;574.609
77;685.156;562.891
78;754.688;600.000
79;788.281;628.906
80;816.406;648.828
81;806.250;657.812
82;1054.688;816.016
83;1020.703;775.391
84;905.859;731.250
85;957.422;754.297
86;910.938;726.953
87;987.891;783.203
88;1008.594;822.266
89;1083.203;893.750
